Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
86,72,Parte & Choke,Jombriel & Alex Krack & Jøtta,18,7819628,-0.15%,https://www.youtube.com/watch?v=EJnMW5BIsbg
87,n/a,Mangu (feat. Charita Utami),Fourtwnty,1,7794717,n/a,https://www.youtube.com/watch?v=JENpTmMQBQY
88,88,NUEVA VIDA,Peso Pluma,10,7788609,-0.02%,https://www.youtube.com/watch?v=qkXIRZKSQ3k
89,n/a,Iris,The Goo Goo Dolls,4,7759477,n/a,https://www.youtube.com/watch?v=NdYWuo9OFAw
90,n/a,पायल,Khesari Lal Yadav & Shilpi Raj,1,7719776,n/a,https://www.youtube.com/watch?v=cd6_A6MEL1o
91,76,চাঁদ মামা,Pritom Hasan & Dola Rahman,4,7671381,-0.13%,https://www.youtube.com/watch?v=UvgEik5fA3c
92,87,Byah Ke Lavange (feat. Sachin Jaat),Masoom Sharma & Ashu Twinkle,12,7653444,-0.04%,https://www.youtube.com/watch?v=MXxwen6w2bM
93,81,The Lazy Song,Bruno Mars,10,7644287,-0.08%,https://www.youtube.com/watch?v=fLexgOxsZu0
94,n/a,मैं 300 में बिकने लगी,Raushan Rohi & Anjali Bharti,1,7627644,n/a,https://www.youtube.com/watch?v=_04iZffh5-M
95,100,फोटो जूम जूम,Neelkamal Singh,5,7582540,0.01%,https://www.youtube.com/watch?v=__ysgcs3-cQ
96,n/a,Jumping Machine (跳楼机),LBI,4,7577271,n/a,https://www.youtube.com/watch?v=TOC78RUj8pg
97,92,Stereo Love,Edward Maya & Vika Jigulina,12,7474272,-0.04%,https://www.youtube.com/watch?v=p-Z3YrHJ1sU
98,83,The Night We Met,Lord Huron,12,7465273,-0.09%,https://www.youtube.com/watch?v=wGF7PswOENQ
99,n/a,愛♡スクリ～ム！,AiScReam,1,7431669,n/a,https://www.youtube.com/watch?v=3yaab2_EEHM
100,65,Tibok,Earl Agustin,6,7427879,-0.24%,https://www.youtube.com/watch?v=pSAtptOY7dI
